"Date","Price","Open","High","Low","Vol.","Change %"
"10/15/2023","4,224.16","4,351.28","4,393.73","4,222.38","","-2.39%"
"10/08/2023","4,327.78","4,288.38","4,386.00","4,283.82","","0.45%"
"10/01/2023","4,308.50","4,280.50","4,324.63","4,216.31","","0.48%"
"09/24/2023","4,288.05","4,309.13","4,338.84","4,238.53","","-0.74%"
"09/17/2023","4,320.06","4,447.13","4,466.28","4,316.43","","-2.93%"
"09/10/2023","4,450.32","4,486.88","4,511.72","4,447.26","","-0.16%"
"09/03/2023","4,457.49","4,512.88","4,514.60","4,429.79","","-1.29%"
"08/27/2023","4,515.77","4,429.68","4,540.16","4,414.67","","2.50%"
"08/20/2023","4,405.71","4,381.18","4,457.97","4,355.94","","0.82%"
"08/13/2023","4,369.71","4,459.63","4,490.01","4,337.77","","-2.11%"
"08/06/2023","4,464.05","4,499.88","4,525.88","4,443.13","","-0.31%"
"07/30/2023","4,478.03","4,586.38","4,594.13","4,475.17","","-2.27%"
"07/23/2023","4,582.23","4,549.52","4,606.00","4,529.17","","1.01%"
"07/16/2023","4,536.34","4,506.13","4,578.25","4,505.88","","0.69%"
"07/09/2023","4,505.42","4,395.38","4,527.81","4,390.13","","2.42%"
"07/02/2023","4,398.95","4,444.17","4,456.88","4,385.18","","-1.16%"
"06/25/2023","4,450.38","4,342.38","4,458.43","4,328.33","","2.35%"
"06/18/2023","4,348.33","4,389.88","4,400.20","4,341.22","","-1.39%"
"06/11/2023","4,409.59","4,311.50","4,447.00","4,304.20","","2.58%"
"06/04/2023","4,298.86","4,285.60","4,322.50","4,260.30","","0.39%"
"05/28/2023","4,282.37","4,225.23","4,290.80","4,166.20","","1.83%"
"05/21/2023","4,205.45","4,193.40","4,212.80","4,103.50","","0.32%"
"05/14/2023","4,191.98","4,129.80","4,212.99","4,109.90","","1.65%"
"05/07/2023","4,124.08","4,138.20","4,154.51","4,098.50","","-0.29%"
"04/30/2023","4,136.25","4,166.20","4,187.20","4,048.00","","-0.80%"
"04/23/2023","4,169.48","4,131.23","4,170.52","4,049.30","","0.87%"
"04/16/2023","4,133.52","4,135.80","4,169.53","4,113.80","","-0.10%"
"04/09/2023","4,137.64","4,078.38","4,162.69","4,071.13","","0.79%"
"04/02/2023","4,105.02","4,102.50","4,133.62","4,069.35","","-0.10%"
"03/26/2023","4,109.31","3,996.03","4,110.80","3,951.50","","3.48%"
"03/19/2023","3,970.99","3,923.38","4,040.03","3,906.70","","1.39%"
"03/12/2023","3,916.64","3,821.90","3,964.75","3,810.54","","1.43%"
"03/05/2023","3,861.59","4,054.18","4,078.60","3,845.20","","-4.55%"
"02/26/2023","4,045.64","4,005.60","4,048.61","3,926.71","","1.90%"
"02/19/2023","3,970.04","4,038.48","4,046.98","3,942.86","","-2.67%"
"02/12/2023","4,079.09","4,097.78","4,159.93","4,047.95","","-0.28%"
"02/05/2023","4,090.46","4,109.85","4,177.10","4,060.58","","-1.11%"
"01/29/2023","4,136.48","4,039.53","4,195.34","4,015.70","","1.62%"
"01/22/2023","4,070.56","3,980.60","4,094.32","3,949.00","","2.47%"
"01/15/2023","3,972.61","3,999.63","4,015.63","3,885.30","","-0.66%"
"01/08/2023","3,999.09","3,917.80","4,004.20","3,876.40","","2.67%"
"01/01/2023","3,895.08","3,858.38","3,907.00","3,793.67","","1.45%"
"12/25/2022","3,839.50","3,845.30","3,858.31","3,780.20","","-0.14%"
"12/18/2022","3,844.82","3,851.34","3,890.80","3,764.14","","-0.20%"
"12/11/2022","3,852.36","3,943.00","4,103.05","3,826.10","","-2.08%"
"12/04/2022","3,934.38","4,042.00","4,051.75","3,918.40","","-3.37%"
"11/27/2022","4,071.70","3,994.60","4,099.40","3,937.50","","1.13%"
"11/20/2022","4,026.12","3,953.69","4,034.00","3,932.55","","1.53%"
"11/13/2022","3,965.34","3,973.63","4,029.99","3,906.26","","-0.69%"
"11/06/2022","3,992.93","3,786.60","4,001.60","3,743.85","","5.90%"
"10/30/2022","3,770.55","3,873.55","3,913.62","3,695.60","","-3.35%"
"10/23/2022","3,901.06","3,770.75","3,906.05","3,741.38","","3.95%"
"10/16/2022","3,752.75","3,652.35","3,764.55","3,646.34","","4.74%"
"10/09/2022","3,583.07","3,651.20","3,711.73","3,490.00","","-1.55%"
"10/02/2022","3,639.66","3,624.07","3,807.35","3,605.60","","1.51%"
"09/25/2022","3,585.62","3,677.70","3,736.65","3,585.40","","-2.91%"
"09/18/2022","3,693.23","3,838.00","3,907.68","3,646.35","","-4.65%"
"09/11/2022","3,873.33","4,089.90","4,119.69","3,836.15","","-4.77%"
"09/04/2022","4,067.36","3,935.35","4,077.00","3,887.33","","3.65%"
"08/28/2022","3,924.26","4,026.84","4,063.55","3,903.00","","-3.29%"
"08/21/2022","4,057.66","4,176.67","4,204.63","4,057.66","","-4.04%"
"08/14/2022","4,228.48","4,256.53","4,325.50","4,218.60","","-1.21%"
"08/07/2022","4,280.15","4,162.69","4,280.15","4,111.49","","3.26%"
"07/31/2022","4,145.19","4,103.38","4,167.63","4,080.38","","0.36%"
"07/24/2022","4,130.29","3,969.80","4,140.00","3,910.40","","4.26%"
"07/17/2022","3,961.63","3,895.50","4,013.12","3,818.76","","2.55%"
"07/10/2022","3,863.16","3,870.40","3,881.22","3,720.25","","-0.93%"
"07/03/2022","3,899.38","3,772.00","3,918.25","3,740.80","","1.94%"
"06/26/2022","3,825.33","3,924.60","3,945.98","3,736.58","","-2.21%"
"06/19/2022","3,911.74","3,732.13","3,912.87","3,716.13","","6.45%"
"06/12/2022","3,674.84","3,800.54","3,837.97","3,636.82","","-5.79%"
"06/05/2022","3,900.86","4,152.40","4,169.04","3,900.01","","-5.05%"
"05/29/2022","4,108.54","4,139.15","4,177.60","4,073.60","","-1.20%"
"05/22/2022","4,158.24","3,933.89","4,158.29","3,874.77","","6.58%"
"05/15/2022","3,901.36","4,009.20","4,091.10","3,810.50","","-3.05%"
"05/08/2022","4,023.89","4,061.09","4,074.06","3,858.80","","-2.41%"
"05/01/2022","4,123.34","4,132.70","4,307.90","4,062.09","","-0.21%"
"04/24/2022","4,131.93","4,247.36","4,308.50","4,123.87","","-3.27%"
"04/17/2022","4,271.78","4,384.30","4,512.94","4,268.10","","-2.75%"
"04/10/2022","4,392.59","4,458.80","4,471.67","4,381.09","","-2.13%"
"04/03/2022","4,488.28","4,546.50","4,593.90","4,450.00","","-1.27%"
"03/27/2022","4,545.86","4,536.73","4,637.90","4,507.20","","0.06%"
"03/20/2022","4,543.04","4,462.24","4,546.07","4,423.90","","1.79%"
"03/13/2022","4,463.09","4,214.90","4,466.40","4,161.18","","6.16%"
"03/06/2022","4,204.31","4,319.93","4,324.00","4,157.20","","-2.88%"
"02/27/2022","4,328.87","4,326.72","4,416.60","4,280.04","","-1.27%"
"02/20/2022","4,384.62","4,329.23","4,385.80","4,114.50","","0.82%"
"02/13/2022","4,348.87","4,410.70","4,489.40","4,326.99","","-1.58%"
